>>> 4483409785568 FormatService.format()
>>> 4483409786014 list paths
<<< 4483409851396 list paths
>>> 4483409851415 read files
<<< 4483409871359 read files
>>> 4483409871379 start workers
>>> 4483409871940 start worker | 1
<<< 4483409875555 start worker | 1
<<< 4483409877598 start workers
>>> 4483409877608 format everything
>>> 4483409877844 request and wait for format | ./benchmark/directory.dart
>>> 4483409877958 send format request | ./benchmark/directory.dart
<<< 4483409878993 send format request | ./benchmark/directory.dart
>>> 4483409879004 format | ./benchmark/directory.dart
<<< 4483409939581 format | ./benchmark/directory.dart
>>> 4483409939604 send format response | ./benchmark/directory.dart
<<< 4483409939846 send format response | ./benchmark/directory.dart
<<< 4483409940021 request and wait for format | ./benchmark/directory.dart
>>> 4483409940277 request and wait for format | ./benchmark/run.dart
>>> 4483409940284 send format request | ./benchmark/run.dart
<<< 4483409940303 send format request | ./benchmark/run.dart
>>> 4483409940311 format | ./benchmark/run.dart
<<< 4483410000153 format | ./benchmark/run.dart
>>> 4483410000182 send format response | ./benchmark/run.dart
<<< 4483410000213 send format response | ./benchmark/run.dart
<<< 4483410000441 request and wait for format | ./benchmark/run.dart
>>> 4483410000457 request and wait for format | ./bin/format.dart
>>> 4483410000463 send format request | ./bin/format.dart
<<< 4483410000485 send format request | ./bin/format.dart
>>> 4483410000489 format | ./bin/format.dart
<<< 4483410060233 format | ./bin/format.dart
>>> 4483410060258 send format response | ./bin/format.dart
<<< 4483410060290 send format response | ./bin/format.dart
<<< 4483410060450 request and wait for format | ./bin/format.dart
>>> 4483410060466 request and wait for format | ./example/format.dart
>>> 4483410060471 send format request | ./example/format.dart
<<< 4483410060491 send format request | ./example/format.dart
>>> 4483410060495 format | ./example/format.dart
<<< 4483410120263 format | ./example/format.dart
>>> 4483410120294 send format response | ./example/format.dart
<<< 4483410120338 send format response | ./example/format.dart
<<< 4483410120519 request and wait for format | ./example/format.dart
>>> 4483410120537 request and wait for format | ./lib/dart_style.dart
>>> 4483410120543 send format request | ./lib/dart_style.dart
<<< 4483410120563 send format request | ./lib/dart_style.dart
>>> 4483410120567 format | ./lib/dart_style.dart
<<< 4483410180216 format | ./lib/dart_style.dart
>>> 4483410180223 send format response | ./lib/dart_style.dart
<<< 4483410180238 send format response | ./lib/dart_style.dart
<<< 4483410180368 request and wait for format | ./lib/dart_style.dart
>>> 4483410180382 request and wait for format | ./lib/src/ast_extensions.dart
>>> 4483410180386 send format request | ./lib/src/ast_extensions.dart
<<< 4483410180400 send format request | ./lib/src/ast_extensions.dart
>>> 4483410180403 format | ./lib/src/ast_extensions.dart
<<< 4483410239943 format | ./lib/src/ast_extensions.dart
>>> 4483410239951 send format response | ./lib/src/ast_extensions.dart
<<< 4483410239965 send format response | ./lib/src/ast_extensions.dart
<<< 4483410240101 request and wait for format | ./lib/src/ast_extensions.dart
>>> 4483410240129 request and wait for format | ./lib/src/back_end/code_writer.dart
>>> 4483410240134 send format request | ./lib/src/back_end/code_writer.dart
<<< 4483410240151 send format request | ./lib/src/back_end/code_writer.dart
>>> 4483410240155 format | ./lib/src/back_end/code_writer.dart
<<< 4483410300214 format | ./lib/src/back_end/code_writer.dart
>>> 4483410300257 send format response | ./lib/src/back_end/code_writer.dart
<<< 4483410300301 send format response | ./lib/src/back_end/code_writer.dart
<<< 4483410300506 request and wait for format | ./lib/src/back_end/code_writer.dart
>>> 4483410300530 request and wait for format | ./lib/src/back_end/solution.dart
>>> 4483410300540 send format request | ./lib/src/back_end/solution.dart
<<< 4483410300565 send format request | ./lib/src/back_end/solution.dart
>>> 4483410300571 format | ./lib/src/back_end/solution.dart
<<< 4483410360165 format | ./lib/src/back_end/solution.dart
>>> 4483410360193 send format response | ./lib/src/back_end/solution.dart
<<< 4483410360242 send format response | ./lib/src/back_end/solution.dart
<<< 4483410360417 request and wait for format | ./lib/src/back_end/solution.dart
>>> 4483410360432 request and wait for format | ./lib/src/back_end/solution_cache.dart
>>> 4483410360441 send format request | ./lib/src/back_end/solution_cache.dart
<<< 4483410360460 send format request | ./lib/src/back_end/solution_cache.dart
>>> 4483410360464 format | ./lib/src/back_end/solution_cache.dart
<<< 4483410420084 format | ./lib/src/back_end/solution_cache.dart
>>> 4483410420090 send format response | ./lib/src/back_end/solution_cache.dart
<<< 4483410420102 send format response | ./lib/src/back_end/solution_cache.dart
<<< 4483410420219 request and wait for format | ./lib/src/back_end/solution_cache.dart
>>> 4483410420229 request and wait for format | ./lib/src/back_end/solver.dart
>>> 4483410420238 send format request | ./lib/src/back_end/solver.dart
<<< 4483410420250 send format request | ./lib/src/back_end/solver.dart
